Code,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12
ALB,-0.07705459468352518,-0.0444533025314767,-0.3109294627959228,0.017574339519431912,-0.20372745329620492,-0.1463185312617541,-0.14436714880306342,-0.0827137274937153,-0.16018386271801255,-0.10336958173987594,-0.18363225915715553,0.1775327963002621
AUT,0.002312894227813038,-0.24856362006598712,0.08006094431362627,0.20298604455369815,-0.07227876581180631,0.10505791193297997,-0.2613431493170476,-0.20719729181820162,-0.2978425708234509,-0.2284393643842511,0.15646226332404475,-0.02037071923158292
BLR,-0.06421885175500251,-0.011859854502931593,-0.02544621905659521,0.06283400446557483,0.1947292043710789,0.009678773975590717,0.19068774247858497,-0.3067174880340526,0.3922886608512892,-0.29553156453612484,-0.21210516030303692,-0.02472774078879766
BEL,0.07832672037575021,0.12031956776093874,0.18388386249474648,0.005839550073160595,-0.10564488220153556,-0.1243796865155731,0.11871601602622137,-0.06952122586216078,0.023721773856898328,-0.12692678777413963,-0.1501556406014771,0.055939671473375426
BIH,-0.1355999438202704,0.10826101762745576,-0.08373850060666202,-0.31675725569502544,-0.05696211755372672,-0.07573761401698824,-0.013898912350041938,0.1899396043647417,0.12731527100014195,0.24115359349635,-0.04949512874630987,0.02365080205992972
BGR,0.03808489843151877,0.06724375373851263,-0.25933241403285073,-0.2590381587740796,-0.2996631849888971,0.03439471428756814,0.1462120236747676,-0.09285931007432646,-0.05356554488487793,-0.1553614007806047,0.011117650942768592,-0.08835770536237131
HRV,-0.14022366302562175,0.10469722874243124,-0.07753114895297764,-0.08970546313928097,-0.06236497971610573,-0.16681684524620494,0.0729486374098687,0.27656548249113166,0.15397383926994168,0.041676385211690335,0.0028476924152861017,-0.07071855287390884
CZE,0.02175780135707214,-0.07364169492591051,-0.07875177232161218,0.025182046453782036,0.11990019246494252,0.13660119419831337,-0.1444722665724654,-0.065856694545066,-0.12548093761359974,-0.06649767406563536,0.31488825288186145,0.22497521126046843
CYP,0.714916005236428,-0.025312153694690264,-0.08988841565287681,0.11318288877901668,0.2787817733603094,-0.27759158216203306,0.07820535626290483,0.3129514897956157,-0.011737306500456889,0.02824973146480423,0.11797749939486901,0.08466252226273836
DNK,0.008685196768858433,0.2057342237050548,0.12961641636408314,-0.1213102953420326,0.1522536951055437,-0.14247141692111118,-0.26831553156371374,-0.14309746005892593,-0.09204482589183395,-0.05612709459213781,-0.2031301500549718,0.20978704635698286
EST,-0.05415298076543608,-0.002052218187576106,-0.0852161830425061,-0.15687473541397595,0.29274407118621,0.37346467135150546,0.1793269981260883,-0.006366331693835731,-0.20595425314170684,0.08339940989212881,0.14660564628827671,-0.15909037571800674
FIN,-0.2926853636858605,-0.16126933863501156,-0.06867827674877901,0.23337457701303763,0.2763557355433244,-0.47660416478446815,0.37402461391579894,-0.08207693175057698,-0.30282404978501604,0.11841197631528869,0.03557827137698905,-0.2643066711431682
FRA,0.028529679164817502,-0.05341630203422838,0.22474286822048492,0.010486718288464692,-0.19468433037723432,-0.06406270113899024,-0.006947649091623556,0.16994921948157296,0.010236190507223923,0.09689330926240423,0.020081146840593787,-0.05498608175154299
DEU,-0.025310850086836294,-0.08300184684142484,0.06032500557458699,0.19378813922214372,-0.02809928539671669,0.016226376927389655,-0.22601845364777218,-0.08717130324298078,-0.05824445956505215,0.12958169365042213,0.11958774119563716,0.05694782096905934
GRC,0.337796053437134,0.04847111255332582,-0.2767133502092815,-0.13900673839177058,0.17497451221505586,0.2120295202185589,-0.07154147164978777,-0.1825300364941095,-0.0426081336725936,0.18442536962972592,-0.38731619621173047,0.0028941932314752237
HUN,0.012984334246837958,0.20573715510564397,-0.00895017239661035,0.017553826253788297,0.012903128673115289,-0.12684949066273493,0.2379964479540032,-0.23206582020398353,0.1592426681223434,-0.11286815710619343,0.19068745006709772,0.05256893540577156
ISL,0.010653075127882704,0.05671953772882613,0.412512159354465,-0.18736189048969265,0.2122580629769825,0.019796704965016274,-0.04926453118748465,-0.08995543199056946,0.21771966693215045,-0.3097241228254368,0.031984686209425815,-0.011751412770999208
IRL,-0.008063598999152037,0.1608353319050423,0.28554923693338996,0.11125025372972697,-0.04681035292132138,-0.3085217998105475,-0.11139417190848529,-0.17937797585440976,-0.09546067173148481,0.1905806587882716,-0.11050517557030416,0.09666254643893026
ITA,0.19800299835976792,-0.07076910527327736,-0.04849587522567397,0.18066187316487856,-0.16492881192769598,-0.006042096792992511,-0.025648322225190787,-0.0933681353139903,0.13916044525810933,-0.049729391728775614,0.0490092717586371,0.049162414110454446
LVA,-0.12459611781137482,-0.205052901109616,-0.06866300982574688,0.15576649811773557,0.03997882494818679,0.13122090033821762,0.1772237694348674,-0.02444688627197771,0.20341319411519979,0.26297740368436445,-0.08071920115316668,0.23782588198141222
LTU,-0.1427809801455644,-0.12894217415493345,-0.08355522832074869,0.05345289434073692,-0.009189089857262876,0.03435243872991106,0.10558688254243875,0.07167897291747387,-0.07311568352748517,0.03714351909334234,-0.046358436921571274,0.4992827703661472
MKD,0.031582768182191585,-0.028715837942128737,-0.15245622615125132,-0.13239257440116017,-0.0659522806330787,-0.08144639234921228,-0.1413933629334243,-0.05085473883567299,-0.25322415488049677,0.011139584901732605,-0.17344022641588294,-0.16445317884656513
NLD,-0.14605205653411327,0.5878360345641656,-0.09407065197884122,0.4009925394798188,-0.02061529171490357,0.17551215675792556,-0.02754599523362789,0.43215607706680514,-0.1425273865406269,-0.25904369669143607,-0.09711743193611096,-0.014445855705872736
NOR,0.0008959246440076114,0.1403706633391624,0.2141248904504919,-0.16550724760872723,0.2548322899480811,0.17997321148261086,0.11032236517957969,0.05099978637197752,-0.1142063111637489,0.15795819416705628,0.21043721993383702,0.0457087162867745
POL,-0.0647385697244583,-0.11144990651506333,-0.011555179848197962,0.025930584487438416,0.02467103401936319,0.0990589632744695,0.014019628387821594,0.014633088385386864,0.08802012965451719,0.060063855909739686,-0.35085633889737977,-0.21778837453239647
PRT,0.2031226134930029,-0.01632510250261094,0.12638709723368477,-0.14880323778624177,-0.39504495965111835,0.13478252232635365,0.38562230214495224,-0.0730922653527431,-0.2318630013356484,-0.027201687161704492,0.09793589065645275,-0.09052340480293172
ROU,0.03924056367898819,0.02624438402466162,-0.252714573777453,-0.060726259154385495,0.009220560703561503,-0.1491232170343586,-0.26226125331028133,-0.03656908401423225,0.19850419742877676,-0.14142671034508975,0.2618499504955157,-0.43047072198295827
RUS,-0.05203533902887752,-0.27486438799835966,0.002002994199320166,0.07164161443741415,0.06720471646912034,0.09741147237242435,-0.18198238088679405,0.198638681726686,0.13774401514316056,-0.08470229955422627,0.06327185696037316,-0.07557296166050476
SRB,-0.15270365852519294,-0.15096078977226093,-0.10783782533518622,-0.34447229431071974,-0.07240310509238568,-0.20653044462521616,-0.06205810704439919,0.2044198728204877,0.15736681117227172,-0.05429500316931337,0.20502840942458275,0.2748076138910149
SVK,-0.10061771034985072,-0.08121900959108289,-0.05488283407935659,0.08799528550187266,0.1765480600237499,0.19199581915407382,-0.014457971860179103,0.09856148142583676,0.08833915937525738,0.04340979267122679,-0.10935598017313748,-0.03683926898001209
SVN,-0.12585452868972172,0.11693692827902259,-0.0340768925269223,0.05785484231891537,-0.004944802764165468,0.02466132088866727,-0.25960510130275544,-0.106778299409138,0.13274874305934864,0.31407757120243396,0.1683604226076194,-0.17110163800506625
ESP,0.12939228083248666,-0.1839340141859294,0.32292633253539615,0.12700980842947662,-0.25327568759662633,0.07041781238910147,-0.03999974787408385,0.16970663744692951,0.13781048959050668,0.2286292335673456,-0.1600587226341863,-0.19579098286945804
SWE,-0.12042766984261999,-0.11868991321144368,0.25212613867147077,-0.2895160299916939,0.07458646004645202,0.022913810551839765,-0.07353244841866079,0.16922739516737162,-0.2749330408479952,-0.18557539686071453,-0.1441585874366199,-0.06662441293623898
CHE,-0.019267747443749286,0.30649176270651224,0.009349047775346975,0.06721558240158973,-0.16932957862967804,0.14168865057529956,0.025793232483103327,-0.23590193557078168,0.07069267481661946,0.26636678661408625,0.22474743297784647,0.04173067009500083
UKR,-0.009899582647329685,-0.18140522810480122,-0.030122781235054404,0.18889826946707927,-0.13602336192461106,0.14125703662437225,0.16936196115988741,0.0890905844234521,0.097518264470319,-0.2393181362067524,0.029945880461327262,0.023780447472585158
