,vx,vy,vx%,vy%,sx,sy,sx%,sy%
root1,3.1065650169537795,3.4806731394463735,25.88804180794816,18.319332312875652,3.0812139777238476,3.452269201069703,25.67678314769873,18.169837900366858
root2,0.8461645186542803,1.1292948815361628,7.05137098878567,5.943657271242962,0.8361048681884554,1.1158692278593032,6.967540568237129,5.872995936101596
root3,1.9866872324043043,2.038269407099611,16.555726936702538,10.7277337215769,1.9190911844571104,1.968918301236378,15.992426537142586,10.362727901244094
root4,0.8364883940198451,0.48190345576184934,6.970736616832042,2.536333977693944,0.7743485659580953,0.4461045156958693,6.4529047163174615,2.34791850366247
root5,1.2345567890144449,1.119725177909727,10.287973241787041,5.893290410051195,1.0037800097962772,0.9104139720851783,8.364833414968977,4.791652484658833
root6,0.5107954015313454,1.4046511312301484,4.256628346094545,7.392900690684992,0.4074015085049847,1.1203252575704299,3.395012570874872,5.896448724054895
root7,0.5646422711631216,0.9969712013343226,4.70535225969268,5.247216849128014,0.40980799908243526,0.7235851689247653,3.415066659020294,3.80834299434087
root8,0.4230880100358584,0.5330178859199681,3.525733416965487,2.8053572943156215,0.2423210504823286,0.3052827094557695,2.0193420873527383,1.606751102398787
root9,1.0732275713375201,1.0532886504773562,8.943563094479334,5.543624476196611,0.5376861337750228,0.5276967507631918,4.480717781458524,2.7773513198062725
root10,0.44864137655235237,0.5349921738739821,3.73867813793627,2.8157482835472742,0.14823976251338783,0.17677173115651265,1.2353313542782318,0.9303775324026982
root11,0.5597088768830015,0.4179035766376021,4.66424064069168,2.1994925086189583,0.11669465976279156,0.08712943050137235,0.972455498023263,0.45857595000722295
root12,0.4094345414501461,0.5433221053949624,3.4119545120845505,2.859590028394539,0.07590773285933486,0.10073001922802835,0.6325644404944571,0.5301579959369913
