,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22
Romanian,0.9176091870868466,0.9212624641678157,0.9478849069092109,0.9480019772507693,0.9480965057176962,0.9481159771454098,0.9481664772798843,0.9485139216246073,0.9487612692683739,0.9487797438801734,0.9488025233635488,0.9490967205102202,0.9506441130361486,0.9510349750344267,0.954722648195908,0.9601342334862255,0.9695068054998225,0.975704141725775,0.9757331657408971,0.999951669155807,0.9999895771969315,1.0000000000000038
Hungarians,0.03545275294979122,0.13354888336060414,0.1525365592354608,0.6439646563779652,0.6453176382340611,0.671574344779456,0.7137198715214026,0.7137267297488994,0.7139557285990298,0.7904267821683206,0.9332225887916916,0.9715558754667858,0.9750720224421824,0.9868107440665894,0.9989972280465638,0.9994860553522509,0.9998944854594968,0.9999057695357428,0.9999180113187733,0.9999754218542837,0.9999997191404721,0.9999999999999999
Romany,0.5936216861698969,0.5983274615718197,0.6426305108483,0.6535818411704323,0.6544270433977264,0.6544477869510229,0.6545689372504264,0.6556558270374365,0.6572437390358673,0.6573465060390379,0.665211540427508,0.6672062370011957,0.6923189656455881,0.9912829371637472,0.9969400214172836,0.9979237209063094,0.9993785756848425,0.9995168311646362,0.9995571936474065,0.9999857280554353,0.9999998807291129,1.0000000000000018
Ukrainians,0.0013807949662994516,0.0033724486954809256,0.005350955169613603,0.026158532176473605,0.7103702757870508,0.9066819893323397,0.9089008497496045,0.9697378499257476,0.9950368437310415,0.9985664691926217,0.9985921792817866,0.9998163208265424,0.9998502273931285,0.9999808479608343,0.9999930113107998,0.9999959183226435,0.9999959870663494,0.9999988650468729,0.9999989788789031,0.9999998125237318,0.9999999403993156,1.0000000000000004
Germans,0.20829651226319118,0.5673286611180025,0.7634261239726318,0.7666869624333665,0.7668050125796487,0.7672672731461068,0.773759212729422,0.7739647209343343,0.7740746748861312,0.7754563516434477,0.7754614939820308,0.8773833963153379,0.8774122876872323,0.8781758154922374,0.9684967972031688,0.9855155775817037,0.9973140622258414,0.9999300138106371,0.9999300141544937,0.9999683918611187,0.9999981966329727,0.9999999999999997
Turks,0.2575564929236032,0.6677575315692886,0.9200920655877406,0.9230071944172905,0.9230408214571935,0.92324743727575,0.9232477315955631,0.9243086499824404,0.9286310308124998,0.9287261020615145,0.9309173843375377,0.931476240850017,0.9325941590914654,0.9329049437735583,0.9335475210326746,0.9625956360173733,0.9784287510941454,0.9786818723218615,0.9999616861966465,0.999962793024074,0.999999999868795,0.9999999999999973
Russians_Lippovans,0.06872837686297219,0.09120429603400358,0.09226958798517033,0.11133234531849366,0.12471698459246906,0.12562443714799834,0.12576355226633723,0.1766760092528905,0.8949257261020328,0.9648473616133043,0.9780191810470651,0.9780964057787249,0.9991405404666003,0.999627366322711,0.9996436341383677,0.9996652374336021,0.9999089050929444,0.9999091787499725,0.9999864863811767,0.9999999229644952,0.9999999854603896,1.0000000000000038
Tatars,0.09789929007112962,0.5646319366106572,0.9426430172420703,0.9491030955789863,0.9491425042612311,0.9495804040853004,0.9496467461630738,0.9519136589008453,0.9591671088913595,0.9592659711117946,0.9622674295335762,0.9630474923339071,0.963254408276654,0.9637841619969133,0.9645720938733681,0.9669977158319448,0.967017017188961,0.9672323337978038,0.999980971591754,0.9999811886617154,0.9999880354721372,1.0000000000000027
Serbs,0.05897060960412667,0.4049034163877824,0.7245110933224269,0.7610058059110838,0.7611810609952964,0.7654890554606901,0.7654905569061861,0.7655002022805001,0.7655025363866177,0.7655257531377483,0.7695002602695877,0.8743607653599461,0.8750836938711802,0.8750842736562844,0.9975532211575773,0.9995713569576185,0.9998045725229767,0.9998330712489897,0.999834195512475,0.9999642600289016,0.99999610295179,0.999999999999996
Slovaks,0.0029336035000312975,0.026022210508302234,0.043459794717415706,0.1998354112351378,0.2012735566471461,0.21072484772164704,0.847296969902483,0.8479876871105058,0.8792614407069071,0.976802850733675,0.9981095495056633,0.9998021227015639,0.9998074012962276,0.9998849837012875,0.9999311151001086,0.9999450487841055,0.9999602140363518,0.9999965120189014,0.9999965472009904,0.9999999023040012,0.999999927906968,1.0000000000000058
Bulgarians,0.03776480693215166,0.12974524097897547,0.2029901232111277,0.25849522434158967,0.2586844692159867,0.28492670271660986,0.3054147950751298,0.3057324027936645,0.31787832493760376,0.7231472135995729,0.9004656603143503,0.9986464278452498,0.9986776505781424,0.9993331596516593,0.9999817260775499,0.999989126539099,0.9999909741797587,0.999999604947371,0.9999996075481824,0.99999992800771,0.9999999341836463,1.0000000000000049
Croats,0.00019359122814313393,0.002140300808236203,0.004215638636355516,0.055269709740211406,0.2838005726620085,0.9892004407702966,0.9918422668080217,0.9919675421765061,0.9968044549544759,0.9977134419164456,0.998197950173055,0.9999512241772923,0.9999517573347118,0.9999675177972981,0.9999726068336783,0.9999744647378375,0.9999790348186264,0.9999937713295918,0.9999941915012082,0.999995980386801,0.9999989399023562,0.9999999999999993
Greeks,0.4607771607880582,0.4741218054135631,0.48506418005046376,0.48953909026781894,0.4896451266632635,0.4899983325752895,0.4903149931420241,0.496210467674426,0.5145543279608354,0.5154497109851549,0.5158405035136272,0.5162270492339054,0.9916541221796591,0.9992493025958312,0.9992537398154536,0.9992640530363657,0.9998542601032262,0.9999731229854707,0.9999826438081767,0.9999984132292112,0.999999991332498,0.9999999999999968
Italians,0.7857712166027704,0.8769963391038498,0.877048371208197,0.8834143051413927,0.8834180440451466,0.8834939409893381,0.8838710357239775,0.8840005326411355,0.8840754712287467,0.8843149945370458,0.8846489530447398,0.8936994184472394,0.8949115303971743,0.8961377960894085,0.9158164950745525,0.9356767563344616,0.9609606472673342,0.998416842909019,0.9985604741177924,0.999803922803002,0.9998334194957743,0.9999999999999979
Jews,0.8847312788541676,0.8958148079443665,0.9643268636045996,0.9644125122600954,0.9645887555445206,0.9645971259919872,0.9647917064159143,0.9649465417860187,0.9675986121646002,0.967702929218207,0.9679765518342115,0.9679833045397175,0.9702120095192589,0.9825498256742401,0.982651603344692,0.9861636210644156,0.9862165607807285,0.9901963635191424,0.990399902850992,0.9936636020152799,0.9940172233580087,1.0000000000000016
Czechs,0.01443923411998642,0.08347986920935528,0.15178924179080086,0.3073874592332404,0.31594874384538046,0.3315905932251707,0.528653469328705,0.5330501443047893,0.5994205364761869,0.8587597191775204,0.9098244739771016,0.9977338131409184,0.9977718638606048,0.9978259630992738,0.999983993247427,0.9999987436798747,0.9999987512582249,0.9999991441569102,0.9999991494641803,0.9999993610589196,0.9999999361295141,0.9999999999999949
Poles,0.0363342189402406,0.039468030066644184,0.04121322708842858,0.05202972334136727,0.11379668688777493,0.12160616682303749,0.12700055672124289,0.9630528397074511,0.9911416874592188,0.9955006832195321,0.9977848951931751,0.9994509723283589,0.9996275926302473,0.99994618152601,0.9999967195445778,0.9999972877778511,0.9999974428885027,0.9999997935916823,0.999999837238557,0.9999998582713838,0.9999999999945285,0.9999999999999954
Chinese,0.7338087606450298,0.7338122090440546,0.8508925822223419,0.8589653481009748,0.8595425678360605,0.8600698378500641,0.8615991730294246,0.861695470821427,0.8677994363657646,0.8701135539741418,0.8741811164257984,0.8750344687413455,0.8827268148743971,0.9098528107535132,0.914869887412354,0.9190830540721587,0.977701481636196,0.9971939037059128,0.9980603778690289,0.999984014836124,0.999990192627824,1.0000000000000053
Armenians,0.8933218165189354,0.9410101084363033,0.9495732925741829,0.9512567527338,0.95137970551137,0.9514304262262497,0.9520104725981599,0.9520151645328178,0.9560996121326575,0.9568515126826614,0.9574618420244975,0.9577336318688043,0.9610041165628178,0.9690813708554018,0.9711583034836623,0.9745345392427089,0.9755184615269628,0.980312783643632,0.9803333480978877,0.9822035367286035,0.9996027294844723,0.9999999999999953
Csango,0.08447681585545508,0.1660519756820766,0.3170382659695195,0.3193958908917096,0.3197274487029788,0.3206920962017174,0.38084157563291576,0.380864387798266,0.3890695175753483,0.39161750557524383,0.792612648415159,0.9986103691904465,0.9992787740768733,0.9998620869594483,0.9999576191894818,0.9999780123491742,0.9999948857009839,0.9999955840010804,0.9999961835622209,0.9999997033347219,0.9999997036817933,0.9999999999999999
Macedonians,0.5703068054128397,0.810944797209307,0.887780456028893,0.887912867067355,0.887967249329964,0.8879725051969004,0.8881259377505042,0.8881761132916713,0.8896610803605276,0.8899888517264307,0.8900021246857721,0.8900688374944865,0.8910439816186054,0.8935735229088443,0.8966453156632541,0.9724615429585678,0.9921131878616819,0.9939711557861911,0.9977143952835491,0.9977702672149703,0.9999455142992726,1.000000000000007
Another,0.8940187299052985,0.9019679156197149,0.949571742694424,0.9502824514129866,0.9507053416531532,0.9508546499583553,0.9508734243899594,0.9509874938225168,0.9539505207291319,0.9541777502850466,0.9547526026419281,0.9548392261104257,0.9563021260387234,0.9694848315943502,0.9705960514547074,0.9726915166002601,0.9726963423887229,0.9869458971172196,0.987680451407928,0.9901718046858311,0.9971484404820063,0.9999999999999931
