tari,Z1,Z2,Z3,Z4
Bulgaria,-0.0402643917988522,-0.11275586543040052,0.20077709842389266,-0.7725117816157493
Czech Republic,0.21357929499474207,-0.20111557324397614,0.19509092100010492,-0.3508589704905407
Denmark,0.44036553770508535,0.5798557992241765,-0.4446098053390813,-1.4041388018669516
Germany,0.6825402570999065,1.0866593292814497,-1.711528208500857,0.9472203953181004
Estonia,-0.016173094570784405,-0.21738429525988387,0.01715547927238386,-0.9394759748150029
Ireland,-0.9993244411504992,-0.32157023312770616,-0.937754260922811,-0.33827722277207256
Greece,-0.6575625485446417,0.4760958671194019,0.21585676393093692,-1.3754379647549977
Spain,0.10701616252902996,1.7908138367289534,0.3465687594375774,0.543439634064201
France,-0.2281692245438082,-0.5476414629167722,-0.30108991289389814,4.7999525226788995
Croatia,0.004156690098862208,-0.18181552484334565,0.06235159648501159,-0.7398631597040367
Italy,-0.23771952751964556,-0.6047580552174645,-0.656864349604875,2.7888749977239247
Cyprus,-0.025720791932046044,-0.15961152636526996,0.06719414525458615,-0.9674247886166174
Latvia,-0.014843204519428346,-0.22931382989871205,0.017047847324704032,-0.8981874566189445
Lithuania,0.012226682659346042,-0.2533229105789898,0.027259169140943347,-0.7217566507977183
Luxembourg,-0.02648447960103082,-0.22475371270092342,0.012821303764279415,-0.966686229239598
Hungary,0.49292272448841623,-0.16243781540723934,0.5578579216617834,0.04515283947002317
Malta,-0.018951275453096442,-0.21344121903941887,0.037830279208593304,-0.9704373020814088
Netherlands,0.5376302056648807,-0.14637348857731813,0.30043539733403396,1.125597117373953
Austria,-0.032034361473245676,-0.19894629873635758,-0.3434507840501774,-0.6164657395620395
Poland,1.3616535332760789,-0.002797037809380665,0.9299232209181488,2.163463486066802
Portugal,0.17941344146222699,-0.1567667157601255,0.2799631312489605,-0.24869330691940267
Romania,-0.31897002774219346,0.1846693921982032,0.07477705276090262,-0.5479885201686349
Slovenia,0.01450817969455268,-0.269585996902423,0.06875932854436727,-0.7350392751458708
Slovakia,0.07208515686043175,-0.21613916840369715,0.12066312254458585,-0.7312548190384838
Finland,0.03183917129689073,-0.23775175365425671,-0.019066842666332975,-0.6515864779423607
Sweden,-0.01864454265983723,-0.23771868570867,-0.09145949590492294,-0.5909346575596821
United Kingdom,-1.5150751263213402,0.7779069450301461,0.9734911216271602,2.153318107014211
