Siruta,Localitate,Diversitate
60419,Constanța,6.288571428571429
13301,Mioveni,6.112142857142857
40394,Rupea,6.045000000000001
60482,Mangalia,6.022857142857144
42682,Brăila,5.760000000000001
9495,Curtici,5.667857142857143
50889,Anina,5.648571428571429
62360,Basarabi,5.644285714285714
54975,Cluj-Napoca,5.625
13490,Câmpulung,5.6207142857142856
13392,Ștefănești,5.589285714285715
55008,Dej,5.562857142857143
60847,Medgidia,5.541428571428571
51010,Caransebeș,5.482857142857142
55446,Huedin,5.4799999999999995
60801,Hârșova,5.434285714285715
92569,Călărași,5.429285714285716
9262,Arad,5.422857142857144
22166,Dărmănești,5.396428571428572
13169,Pitești,5.384285714285715
20297,Bacău,5.369285714285714
1794,Ocna Mureș,5.311428571428572
42753,Făurei,5.198571428571428
55384,Gherla,5.174999999999999
43331,Ianca,5.135714285714285
60776,Cernavodă,5.092857142857143
60455,Eforie,5.085
100610,Oltenița,5.072857142857143
1874,Sebeș,5.0721428571428575
1348,Blaj,5.05
43411,Însurăței,5.020714285714285
1151,Abrud,5.018571428571429
1455,Câmpeni,4.961428571428572
13757,Topoloveni,4.945714285714286
1017,Alba Iulia,4.91857142857143
9574,Lipova,4.897857142857142
8096,Teiuș,4.894285714285713
40241,Codlea,4.8707142857142856
55259,Turda,4.855714285714286
40438,Săcele,4.8307142857142855
40198,Brașov,4.824285714285714
51056,Moldova Nouă,4.822857142857143
101458,Budești,4.807857142857143
44845,Râmnicu Sărat,4.650714285714287
40367,Râșnov,4.637142857142857
55357,Câmpia Turzii,4.612857142857143
20821,Comănești,4.6085714285714285
2915,Baia de Arieș,4.570714285714286
20778,Buhuși,4.562857142857143
40465,Victoria,4.405
9538,Ineu,4.344285714285713
40278,Făgăraș,4.3392857142857135
50923,Băile Herculane,4.297142857142857
20563,Onești,4.185
20965,Târgu Ocna,4.179285714285714
62397,Negru Vodă,4.128571428571429
13622,Curtea de Argeș,4.0964285714285715
1213,Aiud,4.08
13668,Costești,4.065
40303,Predeal,4.064285714285714
9627,Nădlac,4.001428571428571
9654,Pâncota,3.9964285714285714
11584,Pecica,3.989285714285714
1696,Cugir,3.9757142857142855
61069,Băneasa,3.952142857142856
20876,Moinești,3.94
9690,Sebiș,3.9178571428571436
60687,Ovidiu,3.845
60507,Năvodari,3.835714285714286
48325,Pătârlagele,3.830714285714286
20910,Slănic Moldova,3.6149999999999998
12091,Sântana,3.6121428571428567
9459,Chișineu-Criș,3.5957142857142848
47916,Nehoiu,3.538571428571429
44818,Buzău,3.4892857142857143
50790,Reșița,3.3300000000000005
48744,Pogoanele,3.2278571428571428
50969,Bocșa,2.8035714285714284
1936,Zlatna,2.718571428571429
